Cultivo;Campaña;Semana;Zona;Siembra;CC_Malo (%);CC_Regular (%);CC_Normal (%);CC_Bueno (%);CC_Excelente (%);CH_Sequia (%);CH_Regular (%);CH_Adecuada (%);CH_Óptima (%);CH_Excesos (%);Expasión foliar (%);Panojamiento (%);Floración Femenina (%);Grano Pastoso (%);Madurez Fisiológica (%);Cosecha (%)
Maíz;2020/21;47;TOTAL;31;0.090993651;9.574.159.825;5.548.070.935;3.445.416.953;0.399967647;0.064160634;1.276.038.339;5.259.480.527;3.455.380.758;0.026843127;30;0;0;0;0;0
Maíz;2020/21;46;TOTAL;31;0;9.214.742.251;5.550.534.188;3.507.834.693;0.201568936;0;1.320.726.443;4.926.219.146;3.725.689.135;0.273652759;27;0;0;0;0;0
Maíz;2020/21;45;TOTAL;31;0;8.271.588.369;5.416.652.767;3.756.188.396;0;0;8.536.222.475;4.331.094.796;4.781.634.586;0.336483709;24;0;0;0;0;0
Maíz;2020/21;44;TOTAL;30;0;8.644.727.201;5.461.510.984;3.674.016.296;0;0;6.981.380.106;4.214.842.881;5.087.019.108;0;20;0;0;0;0;0
Maíz;2020/21;43;TOTAL;28;0;8.644.176.134;5.669.927.085;3.465.655.302;0;0;1.410.088.682;4.841.800.058;3.612.200.504;1.359.107.553;15;0;0;0;0;0
Maíz;2020/21;42;TOTAL;23;0;9.637.219.268;5.865.505.261;3.170.772.812;0;0.18730467;2.422.032.181;4.639.771.305;2.919.466.047;0;10;0;0;0;0;0
Maíz;2020/21;41;TOTAL;21;0;1.099.516.602;5.725.447.015;3.175.036.383;0;0.187685522;2.013.007.337;4.270.612.711;36.976.114;0;5;0;0;0;0;0
Maíz;2020/21;40;TOTAL;15;0;4.230.007.552;5.260.613.336;4.316.385.909;0;0.008347707;1.370.314.979;446.397.336;4.164.876.891;0;2;0;0;0;0;0
Maíz;2020/21;39;TOTAL;11;0;4.441.843.308;4.766.365.086;4.789.436.201;0;0;1.773.655.077;4.983.091.652;3.167.189.435;0;0;0;0;0;0;0
Maíz;2020/21;38;TOTAL;6;0;0;4.938.403.971;5.061.596.029;0;0;1.086.474.784;5.020.141.751;3.893.383.465;0;0;0;0;0;0;0
Maíz;2020/21;37;TOTAL;1;0;0;4.872.875.596;5.127.124.404;0;0;1.341.652.726;5.041.867.319;3.616.479.955;0;0;0;0;0;0;0
