"Fecha";"Mercado";"Producto";"Precio"
"19-10-05";"Buenos Aires";"Maiz";"U$S 73.33"
"20-10-05";"Buenos Aires";"Maiz";"U$S 73.11"
"21-10-05";"Buenos Aires";"Maiz";"U$S 72.43"
"24-10-05";"Buenos Aires";"Maiz";"U$S 71.19"
"25-10-05";"Buenos Aires";"Maiz";"U$S 71.29"
"26-10-05";"Buenos Aires";"Maiz";"U$S 71.52"
"27-10-05";"Buenos Aires";"Maiz";"U$S 71.94"
"28-10-05";"Buenos Aires";"Maiz";"U$S 71.54"
"01-11-05";"Buenos Aires";"Maiz";"U$S 72.19"
"02-11-05";"Buenos Aires";"Maiz";"U$S 72.34"
"03-11-05";"Buenos Aires";"Maiz";"U$S 71.66"
"07-11-05";"Buenos Aires";"Maiz";"U$S 70.64"
"09-11-05";"Buenos Aires";"Maiz";"U$S 70.06"
"11-11-05";"Buenos Aires";"Maiz";"U$S 70.78"
"14-11-05";"Buenos Aires";"Maiz";"U$S 71.84"
"16-11-05";"Buenos Aires";"Maiz";"U$S 71.19"
"28-11-05";"Buenos Aires";"Maiz";"U$S 68.56"
"02-12-05";"Buenos Aires";"Maiz";"U$S 69.44"
"05-12-05";"Buenos Aires";"Maiz";"U$S 70.42"
"06-12-05";"Buenos Aires";"Maiz";"U$S 70.07"
"12-12-05";"Buenos Aires";"Maiz";"U$S 72.99"
"13-12-05";"Buenos Aires";"Maiz";"U$S 72.97"
"14-12-05";"Buenos Aires";"Maiz";"U$S 73.38"
"16-12-05";"Buenos Aires";"Maiz";"U$S 72.49"
"20-12-05";"Buenos Aires";"Maiz";"U$S 72.51"
"21-12-05";"Buenos Aires";"Maiz";"U$S 73"
"23-12-05";"Buenos Aires";"Maiz";"U$S 73.6"
"26-12-05";"Buenos Aires";"Maiz";"U$S 74.25"
"27-12-05";"Buenos Aires";"Maiz";"U$S 73.48"
"03-01-06";"Buenos Aires";"Maiz";"U$S 77.35"
"10-01-06";"Buenos Aires";"Maiz";"U$S 75.24"
"11-01-06";"Buenos Aires";"Maiz";"U$S 77.02"
"18-01-06";"Buenos Aires";"Maiz";"U$S 77.73"
"23-01-06";"Buenos Aires";"Maiz";"U$S 79"
"24-01-06";"Buenos Aires";"Maiz";"U$S 80.67"
"25-01-06";"Buenos Aires";"Maiz";"U$S 81.97"
"01-02-06";"Buenos Aires";"Maiz";"U$S 84.75"
